PR_ref,commenter,month
"gradle/gradle/16221","bot-gradle","2021-02"
"gradle/gradle/16221","melix","2021-02"
"gradle/gradle/16221","bot-gradle","2021-02"
"gradle/gradle/16221","wolfs","2021-02"
"gradle/gradle/16221","melix","2021-02"
"gradle/gradle/16220","donat","2021-02"
"gradle/gradle/16220","bot-gradle","2021-02"
"gradle/gradle/16220","donat","2021-02"
"gradle/gradle/16220","bot-gradle","2021-02"
"gradle/gradle/16220","jjohannes","2021-02"
"gradle/gradle/16220","donat","2021-02"
"gradle/gradle/16220","jjohannes","2021-02"
"gradle/gradle/16220","jjohannes","2021-02"
"gradle/gradle/16218","wolfs","2021-02"
"gradle/gradle/16218","bot-gradle","2021-02"
"gradle/gradle/16215","eskatos","2021-02"
"gradle/gradle/16215","bot-gradle","2021-02"
"gradle/gradle/16215","eskatos","2021-02"
"gradle/gradle/16215","bot-gradle","2021-02"
"gradle/gradle/16215","big-guy","2021-02"
"gradle/gradle/16215","bamboo","2021-02"
"gradle/gradle/16212","lptr","2021-02"
"gradle/gradle/16212","bot-gradle","2021-02"
"gradle/gradle/16212","melix","2021-02"
"gradle/gradle/16212","lptr","2021-02"
"gradle/gradle/16212","melix","2021-02"
"gradle/gradle/16212","lptr","2021-02"
"gradle/gradle/16212","melix","2021-02"
"gradle/gradle/16206","lptr","2021-02"
"gradle/gradle/16206","bot-gradle","2021-02"
"gradle/gradle/16206","wolfs","2021-02"
"gradle/gradle/16202","jjohannes","2021-02"
"gradle/gradle/16202","bot-gradle","2021-02"
"gradle/gradle/16202","jjohannes","2021-02"
"gradle/gradle/16202","bot-gradle","2021-02"
"gradle/gradle/16200","ljacomet","2021-02"
"gradle/gradle/16200","nugmanoff","2021-02"
"gradle/gradle/16200","nugmanoff","2021-02"
"gradle/gradle/16200","ljacomet","2021-02"
"gradle/gradle/16200","bot-gradle","2021-02"
"gradle/gradle/16200","ljacomet","2021-02"
"gradle/gradle/16200","nugmanoff","2021-02"
"gradle/gradle/16200","ljacomet","2021-03"
"gradle/gradle/16200","bot-gradle","2021-03"
"gradle/gradle/16200","big-guy","2021-02"
"gradle/gradle/16198","bamboo","2021-02"
"gradle/gradle/16198","bot-gradle","2021-02"
"gradle/gradle/16198","bamboo","2021-02"
"gradle/gradle/16198","bot-gradle","2021-02"
"gradle/gradle/16197","wolfs","2021-02"
"gradle/gradle/16197","bot-gradle","2021-02"
"gradle/gradle/16197","wolfs","2021-02"
"gradle/gradle/16197","wolfs","2021-02"
"gradle/gradle/16197","lptr","2021-02"
"gradle/gradle/16197","lptr","2021-02"
"gradle/gradle/16197","wolfs","2021-02"
"gradle/gradle/16197","lptr","2021-02"
"gradle/gradle/16197","lptr","2021-02"
"gradle/gradle/16197","wolfs","2021-02"
"gradle/gradle-completion/101","TamasBarta","2021-02"
"gradle/gradle-completion/101","lestephane","2021-05"
"gradle/gradle-completion/101","alllex","2023-03"
"gradle/gradle/16196","melix","2021-02"
"gradle/gradle/16196","bot-gradle","2021-02"
"gradle/gradle/16196","melix","2021-02"
"gradle/gradle/16196","bot-gradle","2021-02"
"gradle/gradle/16196","melix","2021-02"
"gradle/gradle/16196","wolfs","2021-02"
"gradle/gradle/16196","melix","2021-02"
"gradle/gradle/16196","wolfs","2021-02"
"gradle/gradle/16196","wolfs","2021-02"
"gradle/gradle/16196","wolfs","2021-02"
"gradle/gradle/16196","wolfs","2021-02"
"gradle/gradle/16196","wolfs","2021-02"
"gradle/gradle/16196","melix","2021-02"
"gradle/gradle/16196","melix","2021-02"
"gradle/gradle/16196","melix","2021-02"
"gradle/gradle/16196","melix","2021-02"
"gradle/gradle/16196","wolfs","2021-02"
"gradle/gradle/16196","melix","2021-02"
"gradle/gradle/16195","snoopcheri","2021-02"
"gradle/gradle/16195","donat","2021-02"
"gradle/gradle/16195","blindpirate","2021-02"
"gradle/gradle/16195","snoopcheri","2021-02"
"gradle/gradle/16195","snoopcheri","2021-02"
"gradle/gradle/16195","jjohannes","2021-02"
"gradle/gradle/16195","jjohannes","2021-02"
"gradle/gradle/16195","jjohannes","2021-02"
"gradle/gradle/16195","jjohannes","2021-02"
"gradle/gradle/16195","donat","2021-02"
"gradle/gradle/16195","donat","2021-02"
"gradle/gradle/16195","donat","2021-02"
"gradle/gradle/16193","bmuskalla","2021-02"
"gradle/gradle/16193","bot-gradle","2021-02"
"gradle/gradle/16193","big-guy","2021-02"
"gradle/gradle/16193","big-guy","2021-02"
"gradle/gradle/16193","big-guy","2021-02"
"gradle/gradle/16193","big-guy","2021-02"
"gradle/gradle/16193","big-guy","2021-02"
"gradle/gradle/16193","big-guy","2021-02"
"gradle/gradle/16193","big-guy","2021-02"
"gradle/gradle/16193","big-guy","2021-02"
"gradle/gradle/16193","bmuskalla","2021-02"
"gradle/gradle/16193","bmuskalla","2021-02"
"gradle/gradle/16193","bmuskalla","2021-02"
"gradle/gradle/16193","bmuskalla","2021-02"
"gradle/gradle/16193","bmuskalla","2021-02"
"gradle/gradle/16193","bmuskalla","2021-02"
"gradle/gradle/16193","bmuskalla","2021-02"
"gradle/gradle/16193","bmuskalla","2021-02"
"gradle/gradle/16193","ldaley","2021-02"
"gradle/gradle/16193","bmuskalla","2021-02"
"gradle/gradle/16188","ljacomet","2021-02"
"gradle/gradle/16188","bot-gradle","2021-02"
"gradle/gradle/16188","big-guy","2021-02"
"gradle/gradle/16188","big-guy","2021-02"
"gradle/gradle/16188","ljacomet","2021-02"
"gradle/gradle/16185","ljacomet","2021-02"
"gradle/gradle/16185","bot-gradle","2021-02"
"gradle/gradle/16178","wolfs","2021-02"
"gradle/gradle/16178","wolfs","2021-02"
"gradle/gradle/16178","bot-gradle","2021-02"
"gradle/gradle/16178","melix","2021-02"
"gradle/gradle/16178","wolfs","2021-02"
"gradle/gradle/16178","wolfs","2021-02"
"gradle/gradle/16178","wolfs","2021-02"
"gradle/gradle/16178","melix","2021-02"
"gradle/gradle/16178","lptr","2021-02"
"gradle/gradle/16178","lptr","2021-02"
"gradle/gradle/16178","wolfs","2021-02"
"gradle/gradle/16178","wolfs","2021-02"
"gradle/gradle/16178","lptr","2021-02"
"gradle/gradle/16176","donat","2021-02"
"gradle/gradle/16176","bot-gradle","2021-02"
"gradle/gradle/16176","donat","2021-02"
"gradle/gradle/16176","donat","2021-02"
"gradle/gradle/16176","bot-gradle","2021-02"
"gradle/gradle/16176","donat","2021-02"
"gradle/gradle/16176","rieske","2021-02"
"gradle/gradle/16176","donat","2021-02"
"gradle/gradle/16176","donat","2021-02"
"gradle/gradle/16176","rieske","2021-02"
"gradle/gradle/16176","rieske","2021-02"
"gradle/gradle/16176","rieske","2021-02"
"gradle/gradle/16176","donat","2021-02"
"gradle/gradle/16176","donat","2021-02"
"gradle/gradle/16176","donat","2021-02"
"gradle/gradle/16176","rieske","2021-02"
"gradle/gradle/16176","LifeIsStrange","2021-02"
"gradle/gradle/16174","wolfs","2021-02"
"gradle/gradle/16174","melix","2021-02"
"gradle/gradle/16174","melix","2021-02"
"gradle/gradle/16174","melix","2021-02"
"gradle/gradle/16174","melix","2021-02"
"gradle/gradle/16174","melix","2021-02"
"gradle/gradle/16174","melix","2021-02"
"gradle/gradle/16174","wolfs","2021-02"
"gradle/gradle/16174","wolfs","2021-02"
"gradle/gradle/16174","wolfs","2021-02"
"gradle/gradle/16174","wolfs","2021-02"
"gradle/gradle/16174","wolfs","2021-02"
"gradle/gradle/16174","wolfs","2021-02"
"gradle/gradle/16174","lptr","2021-02"
"gradle/gradle/16174","wolfs","2021-02"
"gradle/gradle/16174","lptr","2021-02"
"gradle/gradle/16174","wolfs","2021-02"
"gradle/gradle/16172","donat","2021-02"
"gradle/gradle/16172","bot-gradle","2021-02"
"gradle/gradle/16167","bamboo","2021-02"
"gradle/gradle/16167","bot-gradle","2021-02"
"gradle/gradle/16166","lptr","2021-02"
"gradle/gradle/16166","bamboo","2021-02"
"gradle/gradle/16166","lptr","2021-02"
"gradle/gradle/16166","bamboo","2021-02"
"gradle/gradle/16162","bamboo","2021-02"
"gradle/gradle/16162","bot-gradle","2021-02"
"gradle/gradle-enterprise-build-config-samples/65","etiennestuder","2021-02"
"gradle/gradle/16156","bamboo","2021-02"
"gradle/gradle/16156","bot-gradle","2021-02"
"gradle/gradle/16155","ljacomet","2021-02"
"gradle/gradle/16155","bot-gradle","2021-02"
"gradle/gradle/16155","ljacomet","2021-02"
"gradle/gradle/16155","bot-gradle","2021-02"
"gradle/gradle/16153","wolfs","2021-02"
"gradle/gradle/16153","bot-gradle","2021-02"
"gradle/gradle-enterprise-build-config-samples/64","etiennestuder","2021-02"
"gradle/gradle-enterprise-build-config-samples/64","bigdaz","2021-02"
"gradle/gradle-enterprise-build-config-samples/64","runningcode","2021-02"
"gradle/gradle-enterprise-build-config-samples/64","runningcode","2021-02"
"gradle/gradle-enterprise-build-config-samples/64","runningcode","2021-02"
"gradle/gradle/16148","blindpirate","2021-02"
"gradle/gradle/16145","ghale","2021-02"
"gradle/gradle/16145","ghale","2021-02"
"gradle/gradle/16145","bot-gradle","2021-02"
"gradle/gradle/16145","ghale","2021-02"
"gradle/gradle/16145","bot-gradle","2021-02"
"gradle/gradle/16145","Sinapse87","2021-02"
"gradle/gradle/16145","wolfs","2021-02"
"gradle/gradle/16145","ghale","2021-02"
"gradle/gradle/16145","ghale","2021-02"
"gradle/gradle/16145","wolfs","2021-02"
"gradle/gradle/16145","wolfs","2021-02"
"gradle/gradle/16145","wolfs","2021-02"
"gradle/gradle/16145","wolfs","2021-02"
"gradle/gradle/16145","ghale","2021-02"
"gradle/gradle/16145","ghale","2021-02"
"gradle/gradle/16145","wolfs","2021-02"
"gradle/playframework/162","JLLeitschuh","2021-02"
"gradle/gradle/16142","grossws","2021-02"
"gradle/gradle/16142","donat","2021-06"
"gradle/gradle/16142","donat","2021-06"
"gradle/gradle/16142","grossws","2021-06"
"gradle/gradle/16142","donat","2021-06"
"gradle/gradle/16142","grossws","2021-06"
"gradle/gradle/16142","donat","2021-06"
"gradle/gradle/16142","donat","2021-06"
"gradle/gradle/16142","bot-gradle","2021-06"
"gradle/gradle/16142","grossws","2021-06"
"gradle/gradle/16142","lacasseio","2021-06"
"gradle/gradle/16142","donat","2021-06"
"gradle/gradle/16142","grossws","2021-06"
"gradle/gradle/16142","lacasseio","2021-06"
"gradle/gradle/16142","grossws","2021-06"
"gradle/gradle/16142","donat","2021-06"
"gradle/gradle/16142","donat","2021-06"
"gradle/gradle/16142","donat","2021-06"
"gradle/gradle/16142","donat","2021-06"
"gradle/gradle/16142","grossws","2021-06"
"gradle/gradle/16142","grossws","2021-06"
"gradle/gradle/16139","bamboo","2021-02"
"gradle/gradle/16139","bot-gradle","2021-02"
"gradle/gradle/16139","bamboo","2021-03"
"gradle/gradle/16139","bot-gradle","2021-03"
"gradle/android-cache-fix-gradle-plugin/143","ghale","2021-02"
"gradle/android-cache-fix-gradle-plugin/143","ghale","2021-02"
"gradle/android-cache-fix-gradle-plugin/143","ghale","2021-02"
"gradle/gradle/16138","bamboo","2021-02"
"gradle/gradle/16138","bot-gradle","2021-02"
"gradle/android-cache-fix-gradle-plugin/142","bigdaz","2021-02"
"gradle/android-cache-fix-gradle-plugin/142","bigdaz","2021-02"
"gradle/android-cache-fix-gradle-plugin/142","ghale","2021-02"
"gradle/android-cache-fix-gradle-plugin/142","ghale","2021-02"
"gradle/android-cache-fix-gradle-plugin/142","ghale","2021-02"
"gradle/android-cache-fix-gradle-plugin/142","bigdaz","2021-02"
"gradle/android-cache-fix-gradle-plugin/142","bigdaz","2021-02"
"gradle/android-cache-fix-gradle-plugin/142","runningcode","2021-02"
"gradle/gradle/16137","lptr","2021-02"
"gradle/gradle/16136","wolfs","2021-02"
"gradle/gradle/16136","bot-gradle","2021-02"
"gradle/gradle/16136","wolfs","2021-02"
"gradle/gradle/16136","bot-gradle","2021-02"
"gradle/gradle/16136","lptr","2021-02"
"gradle/gradle/16136","lptr","2021-02"
"gradle/gradle/16136","lptr","2021-02"
"gradle/gradle/16136","wolfs","2021-02"
"gradle/gradle/16136","lptr","2021-02"
"gradle/gradle/16136","wolfs","2021-02"
"gradle/gradle/16136","lptr","2021-02"
"gradle/gradle/16132","bmuskalla","2021-02"
"gradle/gradle/16132","bmuskalla","2021-02"
"gradle/gradle/16132","bmuskalla","2021-02"
"gradle/gradle/16130","bamboo","2021-02"
"gradle/gradle/16130","bot-gradle","2021-02"
"gradle/gradle/16130","bamboo","2021-02"
"gradle/gradle/16130","bot-gradle","2021-02"
"gradle/gradle/16130","stale","2021-05"
"gradle/gradle/16130","stale","2021-06"
"gradle/gradle/16129","donat","2021-02"
"gradle/gradle/16129","bot-gradle","2021-02"
"gradle/gradle/16129","donat","2021-02"
"gradle/gradle/16129","bot-gradle","2021-02"
