org,repository,url,state,created_at,merged_at,user.login,title
"jenkinsci","jira-plugin","https://github.com/jenkinsci/jira-plugin/pull/353","closed","2021-06-23T13:45:47Z","2021-06-25T07:40:56Z","markawm","Fix `RuntimeDelegate` `ClassCastException` in Jira REST client init use of `UriBuilder.fromUri`."
"jenkinsci","checkmarx-plugin","https://github.com/jenkinsci/checkmarx-plugin/pull/67","closed","2021-06-25T15:22:47Z","2021-06-25T15:23:44Z","umeshwaghode","Regression fix"
"jenkinsci","slack-plugin","https://github.com/jenkinsci/slack-plugin/pull/770","closed","2021-06-25T11:54:24Z","2021-06-25T12:34:23Z","timja","Remove SSL test that fails on newer JDK"
"jenkinsci","insightappsec-plugin","https://github.com/jenkinsci/insightappsec-plugin/pull/18","closed","2021-06-25T10:59:46Z","2021-06-25T12:21:40Z","ckearney-r7","Add manifest for new integration's hub release process"
"jenkinsci","kubernetes-plugin","https://github.com/jenkinsci/kubernetes-plugin/pull/1008","closed","2021-06-17T12:55:24Z","2021-06-25T12:03:28Z","Vlatombe","[JENKINS-65908] Backport kubernetes-client-api 5.x compatibility for old Jenkins users"
"jenkinsci","opentelemetry-plugin","https://github.com/jenkinsci/opentelemetry-plugin/pull/137","closed","2021-06-23T22:28:40Z","2021-06-25T10:31:37Z","v1v","Support span labels with the plugin details for the SimpleBuildStep implementations"
"jenkinsci","thin-backup-plugin","https://github.com/jenkinsci/thin-backup-plugin/pull/29","closed","2021-06-22T00:00:30Z","2021-06-25T09:31:58Z","MarkEWaite","Fix typos and move images into repo"
"jenkinsci","conventional-commits-plugin","https://github.com/jenkinsci/conventional-commits-plugin/pull/43","closed","2021-06-17T09:21:26Z","2021-06-25T07:04:13Z","ADI10HERO","feat: read current version from maven pom.xml"
"jenkinsci","neuvector-vulnerability-scanner-plugin","https://github.com/jenkinsci/neuvector-vulnerability-scanner-plugin/pull/26","closed","2021-06-24T01:54:23Z","2021-06-24T23:01:20Z","songlongcn","print the scan report in the console"
"jenkinsci","pipeline-build-step-plugin","https://github.com/jenkinsci/pipeline-build-step-plugin/pull/55","closed","2021-06-23T21:32:57Z","2021-06-24T20:32:04Z","olamy","add dependabot, release drafter and easy gh actions"
